age,income,credit_score,transaction_amount,num_transactions,region,account_type,is_fraud
38,44872.325875384275,610,61.52274004559892,11,north,savings,1
32,52832.219939267234,677,35.587941834124834,8,east,savings,0
40,43113.70118500058,681,56.35290234345424,6,east,savings,0
49,50380.5770554144,717,29.555790817218316,3,west,premium,0
31,26595.779995693214,570,348.2898186054549,9,east,checking,0
31,58199.405610594076,727,75.92220867747754,7,north,savings,0
49,55018.082130433366,463,42.21113078119948,6,west,savings,0
41,42743.67053397714,629,89.24195223056809,8,east,savings,0
29,64888.68502648608,640,57.96769086361431,7,west,savings,0
39,69063.55206439838,730,204.63253308363116,10,east,checking,0
29,30886.602034465388,681,532.210727380501,12,north,savings,0
29,43559.12832150679,567,86.44699773661898,3,north,checking,0
36,43462.86475319053,601,296.02824934428054,7,north,savings,0
18,40901.45348336703,695,125.15929438956458,10,north,savings,0
18,67442.12262897623,673,25.660187300259977,8,north,premium,0
28,52092.60791840795,633,175.97907710443178,3,south,savings,0
23,51032.27738034084,641,108.05756180437125,8,west,savings,0
37,24942.064533898698,735,157.73348269876604,7,west,savings,0
24,64531.27045313839,638,330.66558589550334,12,east,savings,0
19,36411.12407719791,672,87.0892223310341,12,north,savings,0
48,55898.989453994924,850,347.1646821327035,4,south,savings,0
31,59160.654069372875,566,208.34610079323463,4,east,premium,0
34,75409.87893757976,531,100.59192724718204,14,north,checking,0
19,35367.69401321332,742,138.656803583373,10,west,checking,0
28,10000.0,625,59.08558439909616,11,west,savings,0
35,57757.743171305425,654,616.5463961445863,5,south,checking,0
22,82007.66772266281,617,165.10018336784907,13,east,savings,0
37,73584.19529409157,659,6.7255773941300685,8,north,savings,0
27,58144.891229119385,807,59.31724542789003,5,east,savings,0
31,47625.45721551929,744,146.45167220125765,7,north,savings,0
27,67106.83894955965,748,8.697333553361979,8,north,savings,0
52,40396.80700443297,566,3.626106475928704,10,east,savings,0
33,62145.36654034329,587,89.68216103933186,5,east,savings,0
23,62582.0523874994,452,60.67512640507857,5,east,savings,0
42,70903.1486124832,615,86.51773519719913,4,south,savings,0
21,96394.90058366617,756,45.71270103267888,5,east,savings,0
36,60886.23950768151,721,26.9978375454821,12,east,savings,0
18,47365.54561438752,662,175.26351419939724,2,west,savings,0
20,54616.38531712008,678,108.40837236739158,7,west,savings,0
35,28463.861426663225,624,33.500450093594694,9,east,savings,0
41,44579.303033664124,696,57.7588317157484,9,east,savings,0
35,48860.76342830344,741,134.40261012385477,7,south,checking,0
32,47138.674030981114,550,11.245607891352474,10,north,savings,0
30,57285.32308050583,703,23.929042537227957,8,north,savings,0
19,42663.70101426699,754,11.410004043015167,10,west,savings,0
26,71815.46000986706,646,250.95040234449996,10,west,savings,0
29,55003.10597377296,736,209.3967044560678,3,east,savings,0
44,54860.495182920786,850,209.94520144118886,4,south,premium,0
37,50081.579252306234,671,188.98909096710884,7,north,checking,0
18,57327.860257884684,711,166.02030060516165,7,south,savings,0
37,67376.47397001451,620,97.22375353031474,8,south,checking,0
30,41993.0467643365,694,154.19993814504195,4,south,savings,0
27,45128.25266387115,716,5.86751033079517,9,west,savings,0
40,50444.10956835003,695,145.7167822348775,13,north,checking,0
44,34811.936147901775,598,225.67907592394587,8,south,savings,0
43,42711.13210417754,696,104.07962374437686,9,south,savings,0
25,47856.68689683011,796,66.36138105926503,10,west,checking,0
30,68115.83771069092,715,48.7404688525424,5,west,checking,0
37,58938.419935028876,756,154.41977542976545,6,south,premium,0
43,57903.848670513165,661,177.0390269259449,5,west,checking,0
29,67763.46943251959,739,307.153761345085,10,south,checking,0
32,52939.42317400905,702,62.85873010457949,7,north,savings,0
22,60856.972748933345,603,220.3029737797848,9,south,savings,0
22,53451.67370601256,705,123.61000920415844,11,north,checking,0
42,58980.435240994426,600,321.6277206342662,7,east,premium,0
47,46258.62013582627,629,112.55674454441989,8,west,savings,0
33,18417.742625853563,695,109.35652032150598,9,east,premium,0
44,52985.81256720544,703,129.36880967286407,9,north,savings,0
37,76341.2220414991,584,207.53392871490382,5,north,savings,0
27,68893.23103362389,764,501.54039447567976,10,north,savings,0
37,69480.96226886756,725,11.461442362812223,8,north,savings,0
49,73541.96082709327,623,8.237282486080181,11,north,checking,0
33,56329.86386442156,556,416.00916678972504,8,south,savings,0
49,57959.73561108393,668,113.2136989092684,5,east,premium,0
18,45735.22156848475,644,143.13900993039798,9,east,checking,0
42,50258.90715959425,689,98.78972024552624,9,north,savings,0
34,64236.56724656712,650,14.750693514983352,9,south,checking,0
31,73058.26655753225,519,219.21048500234485,5,north,savings,0
34,52908.305864785005,648,206.288116491762,10,north,checking,0
18,48247.16102722882,655,56.03029728546535,10,south,savings,0
31,55007.91938284896,730,54.844216750226465,9,north,savings,0
37,64018.10123393672,624,272.8770438858337,8,east,checking,0
48,33342.17775799688,814,11.266289449888054,8,west,premium,0
28,20557.28570294143,527,319.42736641648213,10,south,checking,0
25,46741.94725762625,784,44.49060120168076,10,east,checking,0
28,36689.313611287624,662,134.83569291592178,3,north,checking,0
43,47377.897035290334,748,412.31718699918366,14,west,savings,0
37,52783.29521773793,686,170.03763680670275,11,north,checking,0
28,48201.2738646548,771,80.27538403476548,8,north,savings,0
39,76787.01301706118,649,175.45223359298757,8,north,savings,0
34,59901.1714690348,592,63.23451724787879,8,south,savings,0
43,59507.11539416242,793,48.70553145754756,9,south,savings,0
26,64333.10716065103,670,856.316747026139,12,west,savings,0
30,37917.50323328846,697,208.4190438171006,13,east,savings,0
30,70586.67681130403,778,155.22735065029732,11,south,savings,0
19,53863.5357019681,597,65.84311834476368,7,south,checking,0
36,65057.20925861819,727,7.561551985379469,7,east,checking,0
36,38922.14150439767,632,4.732404661911103,5,west,checking,0
34,31693.618509759035,669,121.17642178761848,6,east,savings,0
31,67268.34487037543,685,215.34331471795844,3,south,checking,0
19,60646.14289146275,559,115.62713194318299,9,east,savings,0
29,41469.226684637346,617,275.62503611118694,13,east,checking,0
30,41955.053780879585,788,5.099695480271691,7,north,savings,0
25,71881.52176622154,750,68.53399036566742,7,north,checking,0
32,37158.82160699008,674,40.58842616278597,11,east,savings,0
38,79640.09429883945,699,88.93365189464588,6,west,checking,0
52,41490.68898028197,656,11.269383687996699,9,south,premium,0
35,64575.87888412575,788,462.29696377193983,13,west,checking,0
36,50070.72286376523,663,37.896552623045906,11,north,savings,0
33,64047.81146623514,698,383.2500145784604,11,south,savings,0
18,46838.289968287114,771,83.24096384003842,8,south,premium,0
33,52558.106408915584,617,635.2908567861488,12,west,savings,0
34,55613.78763093582,804,121.13508602252055,12,north,premium,0
58,39967.18816327791,557,400.68441675031863,15,south,savings,0
32,66112.3651813019,810,1.0,4,north,premium,0
37,47301.79650292622,650,206.89114265156383,6,south,premium,0
33,51571.00126989972,660,350.0349950706309,5,west,checking,0
22,40084.75938087232,528,22.574703058927184,8,south,savings,1
45,16564.995118070343,643,15.159771719901926,10,west,savings,0
41,52134.58356099747,596,82.89633336582796,7,west,premium,0
41,91189.23132419374,631,406.98709117762843,7,north,premium,0
24,66769.06431847035,669,117.25957037019647,3,east,savings,0
48,54711.09430398408,756,112.4438094032291,10,north,savings,0
19,51056.637561875985,696,22.819978152458724,9,north,checking,0
39,55336.9883921807,704,1.0,8,east,checking,1
55,63206.78672762815,592,249.22031977327055,9,east,checking,0
24,37287.807770367326,609,13.747336458869876,7,south,checking,0
28,71714.82542003308,823,150.70675476290924,7,north,premium,0
34,65730.71973161866,621,369.09028088608466,10,west,savings,0
28,65772.78588561901,812,35.10260231909678,6,east,savings,0
18,61577.13608214591,660,164.16592732781635,6,north,savings,0
34,55294.249865409845,680,12.295202699154496,8,south,premium,0
23,65092.918539502294,765,138.85844027528472,11,north,savings,0
38,63877.212006120666,781,26.856749359737083,8,south,savings,0
24,49689.38933588464,671,199.74454262492856,11,south,savings,0
49,46395.97340654649,648,53.765322801811905,8,south,savings,0
26,56527.8444289298,675,93.37283779040331,10,north,checking,0
30,78235.30227242781,707,137.2302149047323,6,east,checking,0
42,36413.39386519149,751,28.1797479068165,8,north,checking,0
21,32987.121013713404,680,203.0089311996362,7,south,savings,0
36,57471.41261854775,729,54.0680986117758,7,north,premium,0
47,55763.31552784027,811,162.87152495925469,3,south,savings,0
18,57600.124965556126,710,25.84672289729025,11,north,checking,0
35,58659.29796862751,704,174.76939127076756,7,east,savings,0
36,51651.966180477924,558,20.57723372458615,6,south,savings,0
41,77347.95157903123,469,83.10081359598853,11,north,savings,0
21,30986.440322852268,711,42.5945638411122,2,north,checking,0
20,42572.54462829631,672,206.97245794382272,7,south,checking,0
39,53451.17859776429,638,45.57883306315626,9,north,savings,0
36,30352.16783268749,699,320.2016716706125,8,south,savings,0
36,52362.18393351893,675,333.59410901285753,12,south,premium,0
37,79922.05248592027,770,32.805759005174274,6,east,savings,0
27,55313.29732443942,686,142.72783244120922,13,west,savings,0
36,58460.51358578025,620,13.77086001717138,11,south,savings,0
36,36097.528522411296,759,74.52290060338959,12,east,checking,0
26,45754.57887940784,662,187.40920511069865,4,east,savings,0
52,49372.054295140944,722,161.5672148587525,14,west,premium,0
38,50234.27354865649,641,147.0047034750172,4,north,savings,0
22,74224.65692505654,628,49.80589287148171,12,west,savings,0
40,63365.36591087687,686,71.2282948017483,5,west,savings,0
24,38328.13064594452,681,16.295906905882436,6,south,checking,0
41,58697.571676480075,718,190.42227366805517,12,south,savings,0
45,62473.32622745178,658,105.14327660530259,9,west,checking,0
25,72102.235577819,533,185.04404232487357,10,east,savings,0
43,78708.1102985256,645,42.94116450618252,9,south,savings,0
38,39773.58712258197,743,58.831602055028085,8,east,premium,1
42,42837.137331844926,656,61.01834849149518,11,south,checking,0
52,36136.332116280755,660,3.911931588906292,7,north,savings,0
31,51489.70211339528,758,62.565658766685104,10,south,checking,0
26,61995.37561669502,623,243.91482076394882,7,south,checking,1
25,69810.01774883653,556,341.389277268324,16,west,savings,0
25,53860.73464536216,667,109.5396306813727,7,south,savings,0
33,50202.28715117734,641,91.18356749463527,12,west,savings,0
37,57276.3698837311,602,4.696453712121475,5,south,savings,0
36,42472.856475549655,665,317.0482351934795,7,south,checking,0
42,86343.08082542161,719,1.9643381327112517,11,north,savings,0
34,30885.08459322912,679,434.38325855308017,8,south,savings,0
48,57771.108683435865,704,100.77134484059516,11,west,savings,0
31,85354.0932884446,825,62.76761981612592,6,north,premium,0
61,55101.99766839996,652,386.98503294624885,9,west,checking,0
40,52149.41447497758,702,3.704007079277328,7,north,savings,0
25,49638.31865784359,639,130.63484137135518,5,north,savings,0
23,52294.12477356388,612,119.42075063803068,8,north,savings,0
38,75592.72712014796,633,37.13856872171957,4,east,checking,0
31,21822.0713300574,641,84.0253418642814,4,north,savings,0
41,78001.50551944488,708,158.4467587332559,4,east,premium,0
38,33640.64271324783,850,194.8146260953896,12,east,savings,0
33,51000.21506148378,622,1.0,6,south,checking,0
25,48561.33369552007,646,414.3445122337221,9,south,checking,0
18,63828.299046560795,674,26.963294898389925,8,south,checking,0
29,31028.134721743787,711,39.90382847880209,4,west,savings,0
42,61932.58999122914,701,45.87149835041901,10,south,checking,0
36,85364.64434930279,782,5.783081632752945,13,north,savings,0
21,34552.38993110784,485,19.696158351699864,7,south,savings,0
35,57845.592514155935,489,644.1015168376149,6,east,premium,0
37,45070.26733305086,640,56.797934357528625,11,east,premium,0
25,61388.30809289554,767,18.376186039928545,6,west,checking,0
35,55287.21666123628,554,16.973836835226738,8,west,savings,0
34,45377.69636433535,439,190.65582696727276,6,north,checking,0
22,62318.08427306611,725,289.2076832263389,13,south,savings,0
37,82065.22164680115,699,44.549255470663404,7,east,savings,0
39,52136.44312409052,592,3.169681808418834,5,west,checking,1
44,65796.36913222272,601,37.86461837716389,8,south,savings,0
44,35600.90563193255,602,8.72633170905542,5,south,premium,0
20,40653.45434772987,688,16.37096999638134,12,west,savings,0
24,62086.09416820566,629,84.71523732404343,11,south,savings,0
39,77261.74042803947,719,39.18881368278883,11,south,checking,0
39,60334.2002317849,451,108.83378359328532,8,west,checking,0
39,50304.12954215269,611,43.85269409949476,5,west,savings,0
72,54989.37108135031,589,423.36091084703827,9,north,savings,0
39,36243.88399045424,659,354.57968826149346,12,south,checking,0
45,64067.7298953305,636,125.48547851648249,14,south,savings,0
43,68234.99593485113,743,65.64184875405172,4,west,savings,0
40,48218.645007503794,531,71.9830985530937,6,west,checking,0
30,47949.36778360748,683,79.61657152376144,11,east,savings,0
41,58988.173444780725,724,195.06116964860064,9,south,premium,0
26,48449.20395939107,828,90.12321624369909,10,north,checking,0
31,54008.01078061266,641,291.45359155459124,5,east,premium,0
29,86495.82683749773,705,432.61464423332484,4,south,savings,0
34,51294.61448881005,535,61.40880577272515,5,east,premium,0
57,49624.89771968167,488,123.38402486487149,8,east,savings,0
18,45286.87291547261,747,14.98242133077566,12,south,savings,0
40,66162.87957249905,679,33.559504945336194,6,west,savings,0
18,52281.637401728454,774,80.02863657170508,16,north,savings,0
29,45259.40442517861,570,34.63907400480667,5,east,savings,0
44,74819.56048409519,721,313.80060702967114,7,south,checking,0
34,76294.04506770456,829,25.847294116480434,10,east,savings,0
23,45993.64651391942,713,91.22741049346358,7,east,savings,0
26,27001.900729590758,702,139.59619677004858,10,north,checking,0
40,70112.70534755383,680,176.58206054667272,6,north,savings,0
26,44730.55261359994,554,72.44980381089043,8,north,checking,0
36,66859.38398744153,788,304.99717375338156,10,north,checking,0
34,25448.442734322467,631,126.01031091158674,5,east,premium,0
27,68388.96007448965,720,86.84098767429394,6,north,savings,0
55,36832.421060788285,554,10.441203856691034,10,south,premium,0
40,65961.46178599788,585,93.73624014889877,3,north,checking,0
18,55214.096017546515,794,257.8342217035425,1,south,premium,0
35,40690.90870905033,652,142.99807414338645,5,east,savings,0
27,48894.455306098294,796,267.71381308421564,14,south,checking,0
42,65294.77685435051,673,102.1862511579247,8,east,checking,0
26,56588.41679672851,532,18.91302528001725,7,west,savings,0
32,63766.19470708726,751,2.060058473798736,7,north,checking,0
39,84646.60876773228,632,54.19273589389286,11,east,checking,0
42,31536.37582433423,735,179.59450661597808,8,south,checking,0
21,79258.18862452936,682,234.28292288826674,2,north,savings,0
30,56565.339062848194,556,52.59388458806213,14,south,checking,0
29,41518.23927515308,693,102.67388724645917,9,north,savings,0
27,35045.29561391515,850,81.99872763234609,5,west,checking,0
51,52163.1941383445,719,79.2778815076406,11,north,savings,0
38,68824.75167886689,675,39.46768132817658,7,north,savings,0
21,53086.763194336985,766,21.99181832371732,6,south,savings,0
43,77667.3239537102,696,32.8519188670624,9,south,checking,0
55,33232.36464922661,696,8.538321871311876,9,east,premium,0
44,54818.66578230918,592,33.121455620239345,7,north,savings,0
18,36214.09833380321,698,1.3865230991334543,5,west,savings,0
29,60454.47823937452,762,148.0304793763044,6,west,savings,0
46,68303.31085145951,613,57.05195298571762,7,south,checking,0
26,48688.5730947842,793,542.5938765123483,13,east,savings,0
38,15936.792150592984,672,32.29808166794911,7,south,savings,0
41,57984.22220194742,608,63.65787554471882,8,north,checking,0
24,61551.07827600264,759,66.43793841725508,2,south,savings,0
33,61064.421324425464,657,1.2731118695036583,8,north,savings,0
18,73536.73287733231,740,274.1465073991549,4,west,savings,0
23,38934.19480526427,656,4.877620309580431,10,north,checking,0
31,65203.24158175674,675,422.46186944746574,11,east,premium,1
21,72887.61268716963,719,333.9469087486313,7,north,checking,0
50,28321.186239902247,703,115.02613559136898,11,east,savings,0
19,59794.777388784656,520,117.65639481063904,10,north,checking,0
29,47437.302534884926,590,159.1012302973772,11,east,savings,0
35,53777.15990347531,754,73.42078978685376,12,north,checking,0
48,60215.14725307505,669,156.28756776042349,7,west,checking,0
19,47691.57153829672,638,6.870216445845418,7,west,premium,0
45,44864.37881257582,571,8.33445858499721,8,east,savings,0
34,55512.28626232037,593,91.66055919483973,10,north,checking,0
24,38691.31091705796,518,119.6503076075221,11,north,checking,0
38,38712.62306672222,671,328.14442807479446,10,west,savings,0
35,65190.59924434755,632,16.582867888000475,9,north,checking,0
27,37768.08947262016,602,259.44276152595114,3,north,premium,0
34,64994.68751363818,674,35.36733839088825,7,south,premium,0
30,61938.86939280927,709,75.15200044279615,3,north,checking,0
35,29112.89906814105,847,57.10177531826527,10,north,savings,0
40,44836.530214965176,559,76.66266680496149,7,south,premium,0
49,72911.6410457106,772,24.46530575724671,6,south,checking,0
21,40282.517032904776,757,105.04694133331519,11,north,savings,0
55,48033.93606535919,617,242.65271604963894,7,south,savings,0
18,61930.913398778444,696,87.38423373910213,12,south,savings,0
32,66750.85763923894,643,101.18225513309842,4,east,savings,0
39,51226.91670933257,694,283.34061827300667,8,north,checking,0
36,46037.347079625375,800,183.65598000290316,8,east,savings,0
27,76335.54792547761,728,101.13539213028521,4,south,savings,0
31,81083.49495696368,720,44.69939134079916,11,south,savings,1
29,69682.87076172692,645,324.32795541753677,7,north,savings,0
28,56279.77213847536,561,129.06469980689326,8,north,savings,0
42,42876.0141753861,663,37.49006065942988,11,west,savings,0
37,42543.333901651524,776,47.02584794259076,3,south,savings,0
27,62837.71157898636,557,243.78410353599244,10,east,checking,0
42,61275.97331333026,595,6.772445868219958,11,west,savings,0
37,76023.97889419644,690,725.9856036806511,3,south,checking,0
42,64756.75138804209,601,20.94995679202965,10,south,savings,0
40,32453.79547360273,616,238.49568755646578,9,north,savings,0
25,70779.21426584378,646,75.32332689867974,8,west,savings,0
28,40029.090590283806,570,101.65492194472566,9,east,savings,0
41,49240.43092071472,602,318.85496469328325,7,east,savings,0
40,58753.00309377542,736,79.8868762768982,6,south,savings,0
33,84935.01234675947,575,115.66428248242075,10,west,savings,0
35,101648.7783400804,552,7.583455278014606,12,east,checking,0
46,64100.84588704274,629,1.0,8,north,savings,0
28,52252.05071919418,738,42.115874397865916,9,south,premium,0
39,63017.584727208254,664,171.18871660834444,11,south,checking,0
31,68314.83138810754,642,19.39076765204831,9,north,checking,0
31,50189.98561664212,683,18.115454241213605,6,west,savings,0
44,81928.17033868484,540,79.38933272566912,8,north,checking,0
42,58451.06138787103,719,156.54918780253584,6,south,savings,0
42,62466.14633637091,710,186.75672047666427,9,south,savings,0
47,64988.86378081692,647,29.484494940725863,7,south,savings,0
34,61323.79915921683,760,12.440106481737216,7,south,premium,0
40,67584.10750704419,589,423.0074910202141,6,west,savings,0
30,45741.20220179615,770,45.30090232030952,9,south,premium,0
37,46625.473690809544,692,287.95239017841084,13,north,savings,0
32,38497.68650542457,653,298.70520485197807,5,east,premium,0
34,61592.51845930339,678,222.10565249593353,2,north,premium,0
39,66684.04755268172,671,27.738790725327995,5,north,premium,0
25,61866.59299227829,777,258.728542925295,6,north,savings,0
54,80117.38650021306,593,219.963424377643,9,north,premium,0
23,54916.059717564305,618,136.21973755532446,11,south,premium,0
21,65031.12483388769,762,61.69275959957042,9,south,savings,0
45,38624.486857910284,632,45.67512864574703,5,north,savings,0
41,49193.50446288398,752,19.49737667497438,10,east,checking,0
40,65433.066363486665,815,106.92813433525747,5,north,savings,0
40,67736.53166114716,647,132.01583581492443,14,west,checking,1
33,50590.49578503727,734,66.78822124627601,5,south,savings,0
25,53926.011222129,587,96.7561783234282,8,north,checking,0
34,32231.89379978786,740,67.76903626477768,6,west,savings,0
27,49644.56198790086,695,153.66746450937273,13,south,savings,0
43,68355.74745279679,717,347.2885684586781,8,south,savings,0
32,63628.07524159849,628,26.854693517884293,6,north,checking,0
25,62509.985820718146,547,72.04659907685702,7,east,savings,0
30,55746.6053077144,720,22.775010709042068,5,south,checking,0
38,55105.94737942264,514,147.10189780099893,11,north,checking,1
28,45095.18290789829,654,195.7738121188512,11,north,savings,0
25,65482.426303038024,755,403.044757864982,9,east,savings,0
36,61314.59416584085,695,49.04077859883132,5,north,savings,0
36,62380.28271989199,835,449.99480064747814,11,north,savings,0
28,47109.4773599863,762,9.80285532457517,6,south,savings,0
29,22699.856201931336,627,138.57808788277487,10,west,checking,0
36,71457.29067630543,682,8.82446218036775,4,north,premium,0
19,47817.438159873935,676,336.32822199268253,7,north,savings,0
19,42058.36353935319,553,113.19246078402556,11,west,checking,0
